dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.465304,10.547338,0.000588,0.058824,2.941176,147.058824,0.001739
0.020000,3.465651,10.547339,0.000936,0.017364,-2.072998,-250.708709,0.001398
0.020000,3.466346,10.547339,0.001630,0.034718,0.867744,147.037082,0.000717
0.020000,3.469485,10.547339,0.004769,0.156959,6.112028,262.214203,6.282882
0.020000,3.480284,10.547329,0.015568,0.539964,19.150241,651.910661,6.281521
0.020000,3.493783,10.547295,0.029067,0.674955,6.749575,-620.033303,6.279821
0.020000,3.509981,10.547224,0.045265,0.809875,6.745997,-0.178886,6.277782
0.020000,3.528877,10.547099,0.064162,0.944856,6.749054,0.152849,6.275403
0.020000,3.550471,10.546902,0.085756,1.079714,6.742861,-0.309679,6.272687
0.020000,3.574761,10.546610,0.110048,1.214592,6.743934,0.053648,6.269633
0.020000,3.601745,10.546198,0.137036,1.349386,6.739683,-0.212518,6.266242
0.020000,3.631423,10.545640,0.166719,1.484152,6.738282,-0.070049,6.262516
0.020000,3.663791,10.544905,0.199096,1.618836,6.734206,-0.203804,6.258456
0.020000,3.698847,10.543961,0.234164,1.753423,6.729360,-0.242308,6.254063
0.020000,3.736588,10.542772,0.271924,1.887981,6.727903,-0.072883,6.249339
0.020000,3.777009,10.541301,0.312371,2.022373,6.719600,-0.415122,6.244287
0.020000,3.820104,10.539508,0.355504,2.156634,6.713048,-0.327596,6.238909
0.020000,3.865868,10.537350,0.401319,2.290739,6.705260,-0.389407,6.233208
0.020000,3.914294,10.534781,0.449813,2.424699,6.697983,-0.363843,6.227187
0.020000,3.965373,10.531756,0.500981,2.558435,6.686825,-0.557892,6.220851
0.020000,4.019096,10.528223,0.554821,2.691965,6.676485,-0.517025,6.214203
0.020000,4.075452,10.524132,0.611325,2.825205,6.661982,-0.725126,6.207250
0.020000,4.134428,10.519430,0.670488,2.958153,6.647437,-0.727289,6.199996
0.020000,4.196011,10.514061,0.732304,3.090800,6.632355,-0.754071,6.192449
0.020000,4.260183,10.507968,0.796765,3.223064,6.613171,-0.959221,6.184615
0.020000,4.326929,10.501094,0.863864,3.354936,6.593590,-0.979041,6.176502
0.020000,4.396228,10.493379,0.933591,3.486338,6.570120,-1.173501,6.168119
0.020000,4.468058,10.484762,1.005936,3.617251,6.545622,-1.224886,6.159476
0.020000,4.542396,10.475182,1.080888,3.747637,6.519319,-1.315144,6.150583
0.020000,4.619216,10.464577,1.158437,3.877438,6.490076,-1.462169,6.141452
0.020000,4.698490,10.452886,1.238569,4.006600,6.458089,-1.599346,6.132095
0.020000,4.780189,10.440047,1.321270,4.135068,6.423396,-1.734660,6.122526
0.020000,4.864279,10.425997,1.406526,4.262802,6.386668,-1.836370,6.112758
0.020000,4.950727,10.410676,1.494322,4.389755,6.347687,-1.949082,6.102809
0.020000,5.038845,10.394148,1.583976,4.482698,4.647120,-85.028330,6.092767
0.020000,5.127302,10.376639,1.674149,4.508662,1.298212,-167.445383,6.082793
0.020000,5.215434,10.358285,1.764172,4.501145,-0.375836,-83.702445,6.072966
0.020000,5.303232,10.339106,1.854040,4.493429,-0.385827,-0.499526,6.063291
0.020000,5.390687,10.319120,1.943750,4.485468,-0.398036,-0.610449,6.053772
0.020000,5.477791,10.298348,2.033296,4.477323,-0.407259,-0.461168,6.044412
0.020000,5.564536,10.276809,2.122676,4.468996,-0.416321,-0.453069,6.035216
0.020000,5.650917,10.254522,2.211886,4.460488,-0.425392,-0.453553,6.026186
0.020000,5.736928,10.231508,2.300922,4.451836,-0.432614,-0.361097,6.017326
0.020000,5.822565,10.207788,2.389783,4.443037,-0.439939,-0.366290,6.008639
0.020000,5.907822,10.183381,2.478465,4.434107,-0.446502,-0.328147,6.000127
0.020000,5.992698,10.158308,2.566967,4.425068,-0.451982,-0.273987,5.991792
0.020000,6.077188,10.132589,2.655285,4.415921,-0.457330,-0.267393,5.983636
0.020000,6.161293,10.106245,2.743419,4.406685,-0.461828,-0.224905,5.975662
0.020000,6.245009,10.079296,2.831366,4.397369,-0.465799,-0.198525,5.967870
0.020000,6.328338,10.051762,2.919126,4.387984,-0.469215,-0.170833,5.960262
0.020000,6.411278,10.023663,3.006697,4.378544,-0.472010,-0.139727,5.952840
0.020000,6.493831,9.995019,3.094078,4.369050,-0.474720,-0.135501,5.945603
0.020000,6.575998,9.965850,3.181268,4.359522,-0.476364,-0.082225,5.938553
0.020000,6.657780,9.936176,3.268268,4.349965,-0.477864,-0.074974,5.931691
0.020000,6.739179,9.906015,3.355075,4.340378,-0.479375,-0.075571,5.925017
0.020000,6.820199,9.875387,3.441691,4.330785,-0.479633,-0.012907,5.918531
0.020000,6.900842,9.844311,3.528114,4.321181,-0.480192,-0.027957,5.912233
0.020000,6.981112,9.812805,3.614346,4.311570,-0.480532,-0.016962,5.906124
0.020000,7.061012,9.780888,3.700385,4.301974,-0.479814,0.035880,5.900202
