dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.468851,8.507341,0.000588,0.058824,2.941176,147.058824,0.001739
0.020000,3.468504,8.507341,0.000936,0.017364,-2.072998,-250.708709,0.001398
0.020000,3.467809,8.507340,0.001630,0.034718,0.867744,147.037082,0.000717
0.020000,3.468866,8.507339,0.002687,0.052838,0.906002,1.912883,6.282882
0.020000,3.476890,8.507332,0.010710,0.401191,17.417609,825.580394,6.281521
0.020000,3.486920,8.507306,0.020741,0.501532,5.017089,-620.026004,6.279821
0.020000,3.498957,8.507254,0.032778,0.601853,5.016034,-0.052752,6.277782
0.020000,3.513002,8.507161,0.046823,0.702261,5.020377,0.217130,6.275403
0.020000,3.529054,8.507014,0.062876,0.802629,5.018391,-0.099276,6.272687
0.020000,3.547114,8.506797,0.080938,0.903077,5.022447,0.202773,6.269633
0.020000,3.567183,8.506491,0.101008,1.003543,5.023291,0.042228,6.266242
0.020000,3.589261,8.506076,0.123090,1.104086,5.027121,0.191456,6.262516
0.020000,3.613348,8.505529,0.147184,1.204685,5.029958,0.141891,6.258456
0.020000,3.639446,8.504826,0.173291,1.305352,5.033365,0.170352,6.254063
0.020000,3.667555,8.503941,0.201414,1.406164,5.040596,0.361532,6.249339
0.020000,3.697676,8.502845,0.231555,1.507048,5.044199,0.180143,6.244287
0.020000,3.729810,8.501507,0.263716,1.608063,5.050752,0.327638,6.238909
0.020000,3.763956,8.499897,0.297901,1.709227,5.058219,0.373390,6.233208
0.020000,3.800117,8.497979,0.334113,1.810590,5.068105,0.494259,6.227187
0.020000,3.838293,8.495718,0.372355,1.912136,5.077333,0.461432,6.220851
0.020000,3.878485,8.493075,0.412634,2.013929,5.089623,0.614507,6.214203
0.020000,3.920693,8.490011,0.454953,2.115958,5.101466,0.592132,6.207250
0.020000,3.964918,8.486485,0.499319,2.218281,5.116155,0.734453,6.199996
0.020000,4.011162,8.482453,0.545738,2.320952,5.133542,0.869325,6.192449
0.020000,4.059424,8.477871,0.594217,2.423975,5.151158,0.880811,6.184615
0.020000,4.109707,8.472692,0.644766,2.527415,5.171988,1.041519,6.176502
0.020000,4.162009,8.466869,0.697391,2.631287,5.193597,1.080437,6.168119
0.020000,4.216333,8.460352,0.752104,2.735653,5.218316,1.235929,6.159476
0.020000,4.272678,8.453091,0.808916,2.840568,5.245724,1.370398,6.150583
0.020000,4.331046,8.445033,0.867837,2.946070,5.275101,1.468892,6.141452
0.020000,4.391437,8.436127,0.928881,3.052204,5.306709,1.580365,6.132095
0.020000,4.453851,8.426318,0.992062,3.159017,5.340656,1.697371,6.122526
0.020000,4.518289,8.415552,1.057393,3.266567,5.377510,1.842678,6.112758
0.020000,4.584752,8.403772,1.124891,3.374910,5.417123,1.980687,6.102809
0.020000,4.652735,8.391021,1.194060,3.458449,4.176951,-62.008634,6.092767
0.020000,4.721232,8.377462,1.263886,3.491303,1.642724,-126.711359,6.082793
0.020000,4.789738,8.363195,1.333862,3.498803,0.374998,-63.386286,6.072966
0.020000,4.858254,8.348228,1.403993,3.506553,0.387512,0.625703,6.063291
0.020000,4.926777,8.332569,1.474283,3.514493,0.396987,0.473734,6.053772
0.020000,4.995308,8.316225,1.544736,3.522643,0.407482,0.524754,6.044412
0.020000,5.063846,8.299207,1.615356,3.530979,0.416809,0.466369,6.035216
0.020000,5.132391,8.281522,1.686145,3.539476,0.424840,0.401571,6.026186
0.020000,5.200942,8.263179,1.757108,3.548137,0.433071,0.411546,6.017326
0.020000,5.269500,8.244189,1.828247,3.556937,0.439984,0.345620,6.008639
0.020000,5.338063,8.224561,1.899564,3.565863,0.446296,0.315602,6.000127
0.020000,5.406631,8.204305,1.971062,3.574909,0.452307,0.300536,5.991792
0.020000,5.475206,8.183431,2.042743,3.584055,0.457292,0.249269,5.983636
0.020000,5.543786,8.161950,2.114609,3.593292,0.461874,0.229129,5.975662
0.020000,5.612372,8.139871,2.186661,3.602609,0.465842,0.198384,5.967870
0.020000,5.680964,8.117206,2.258901,3.611994,0.469266,0.171174,5.960262
